resource,message_id,translated,notes
273,2743,Jessica <PART> entrou para o grupo.,
273,2768,Sophalla <PART> entrou para o grupo.,
273,2770,Arcana <PART> entrou para o grupo.,
273,2588,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
273,2613,Por quanto tempo mais devo lutar?,
273,2615,"Vamos nessa, adoro uma boa briga.",
273,2629,A alma de uma arqueira emana do arco.,
273,2634,"A materialização é impossível
sem a Silmeria...",
273,2631,Realizar a materialização?,not displayed by the event script
273,2632,Sim,not displayed by the event script
273,2633,Não,not displayed by the event script
273,2635,Cavernas do Vulcão Surts,not displayed by the event script
273,2783,Jessica,
273,2808,Sophalla,
273,2810,Arcana,
