resource,message_id,translated,notes
1209,2752,,
1209,2753,,
1209,2754,,
1209,2755,,
1209,2756,,
1209,2757,,
1209,2758,,
1209,2759,,
1209,2760,,
1209,688,"Ei, o que aconteceu!?",
1209,689,Já não aguento mais...,
1209,690,"Estamos longe e mesmo assim a cidade só fala
más notícias de Dipan...",
1209,691,...Boato é só boato.,
1209,692,Não vamos nos enganar...,
1209,694,O círculo de teletransporte?,
1209,695,Isso! Exato!,
1209,696,Por que não!?,
1209,697,"...Na verdade,  já tentei.",
1209,698,Mas Dipan está cercada por uma barreira poderosa.,
1209,699,"Lamento, mas está além
do meu poder.",
1209,700,"...Vamos torcer para que ao menos os navios
estejam navegando.",
1209,701,De volta a Solde...,
1209,702,Infelizmente...,
1209,703,"Ei, não dá pra usar aquilo? <PART> ---- <PART> Como chama?
Magia de teletransporte?",
1209,3,,
1209,4,,
1209,5,,
1209,6,,
1209,7,,
1209,2372,,
1209,2761,,
1209,2762,,
1209,2763,,
1209,2764,,
