resource,message_id,translated,notes
1263,1,Que desperdício.,
1263,2,Era alguém que você conhecia?,
1263,14,Não...,
1263,15,Apenas pena de alguém como eu.,
1263,12,para se preocupar em cavar a sepultura dele amanhã.,
1263,4,Não seja tão fria com os mortos.,
1263,5,Um dia pode ser você.,
1263,6,E daí?,
1263,7,"Se não se importa, eu ajudo.",
1263,16,Não se preocupe.,
1263,8,Vá em frente. Eu alcanço vocês.,
1263,9,Vamos.,
1263,17,Sim...,
1263,18,"Ah, tá bom.",
1263,10,"O orbe foi levado na direção de
Crell Monferaigne.",
1263,13,"Vou estar ocupado demais tentando sobreviver,",
1263,2757,,
1263,2758,,
1263,2759,,
1263,2760,,
1263,2761,,
1263,2762,,
1263,2763,,
1263,2764,,
1263,2765,,
1263,21,,
1263,22,,not displayed by the event script
1263,23,,
1263,24,,
1263,25,,
1263,2372,,
1263,2752,,
1263,2753,,
1263,2754,,
1263,2755,,
1263,2756,,
