resource,message_id,translated,notes
1179,2743,Jessica <PART> entrou para o grupo.,
1179,2762,Atrasia <PART> entrou para o grupo.,
1179,2767,Lydia <PART> entrou para o grupo.,
1179,2612,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
1179,2631,"Desprezo os deuses, mas em você confio.",
1179,2636,Use o meu poder como quiser.,
1179,2653,A alma de uma arqueira emana do arco.,
1179,2658,"A materialização é impossível
sem a Silmeria...",
1179,2655,Realizar a materialização?,not displayed by the event script
1179,2656,Sim,not displayed by the event script
1179,2657,Não,not displayed by the event script
1179,2659,Cripta do Dragão,not displayed by the event script
1179,2741,Adquirido <PART> 20000 OTH,
1179,2783,Jessica,
1179,2802,Atrasia,
1179,2807,Lydia,
