resource,message_id,translated,notes
565,395,Jessica <PART> entrou para o grupo.,
565,416,Chrystie <PART> entrou para o grupo.,
565,417,Sha-kon <PART> entrou para o grupo.,
565,260,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
565,281,Enfim estou livre! Demorou bastante!,
565,282,Trouxe o que preciso para minha pesquisa?,
565,301,A alma de uma arqueira emana do arco.,
565,306,"A materialização é impossível
sem a Silmeria...",
565,303,Realizar a materialização?,not displayed by the event script
565,304,Sim,not displayed by the event script
565,305,Não,not displayed by the event script
565,307,Floresta Antiga,not displayed by the event script
565,393,Adquirido <PART> Screp,
565,435,Jessica,
565,456,Chrystie,
565,457,Sha-kon,
