resource,message_id,translated,notes
1203,1,"...é o que dizem os últimos
registros de Dipan.",
1203,2,...Por que esta cidade esquecida?,
1203,3,"Na época provavelmente era
mais próspera.",
1203,4,Quando seria isso?,
1203,5,"São registros de mais de
quinhentos anos atrás.",
1203,6,Alguém deve ter cuidado bem deles.,
1203,8,Você conhece bem a história.,
1203,10,"...Desculpe, eu não sabia.",
1203,12,Então vamos.,
1203,13,"Dipan foi fundada por uma seita que se separou
dos Guardiões do Orbe.",
1203,14,...Conhecimento básico para um súdito leal.,
1203,15,A história se perde com o tempo.,
1203,16,"O orbe foi colocado em um lugar
aqui, fora da Vila Coriandro.",
1203,2756,,
1203,2757,,
1203,2758,,
1203,2759,,
1203,2760,,
1203,2761,,
1203,2762,,
1203,2763,,
1203,2764,,
1203,19,,
1203,20,,not displayed by the event script
1203,21,,
1203,22,,
1203,23,,
1203,2740,,
1203,2752,,
1203,2753,,
1203,2754,,
1203,2755,,
