resource,message_id,translated,notes
1309,1,Não deveríamos descansar um pouco?,
1309,2,É... acho que sim.,
1309,3,Tem algo errado?,
1309,4,Você não disse uma palavra...,
1309,5,Não é nada...,
1309,6,"Nunca imaginei que viveria para ver uma vista
como esta com meus próprios olhos... É inacreditável.",
1309,7,Devo tudo a você.,
1309,8,Eu também...,
1309,9,"Se não fosse por você, eu nunca
teria chegado até aqui.",
1309,10,Pode jogar fora esse anel sabia?,
1309,11,"Em Asgard, o tempo é eterno. Você não vai
envelhecer enquanto estiver aqui.",
1309,12,Vá em frente. Não há risco de você se tornar um morto-vivo.,
1309,13,Eu sei...,
1309,14,Mas ele se tornou meu amuleto da sorte.,
1309,15,Fica ridículo em você. Está enorme.,
1309,16,"Certo, vou seguir para o topo daqui.
Você vá para Valhalla.",
1309,17,O quê? Vamos nos separar!?,
1309,18,"Odin não é tolo. Ele sabe que estamos aqui.
Ele vai estar nos caçando.",
1309,19,Ele virá atrás de nós para nos esmagar.,
1309,20,Então ainda mais motivo <PART> ----,
1309,21,Não quero que se machuque!,
1309,22,"Não me importo se morrer. Eu acolheria
a morte de bom grado.",
1309,23,Mas você não. Não agora.,
1309,24,"Você ainda precisa recuperar o Orbe do Dragão.
Isso não importa mais?",
1309,25,Eu não consigo sozinha...,
1309,26,Eu <PART> ----,
1309,27,Quero arriscar junto com você.,
1309,28,"Quero estar observando quando você
a se tornar um deus.",
1309,29,"Depois disso, vamos recuperar o orbe
juntos.",
1309,30,...Não pode?,
1309,31,...Tá bom.,
1309,32,Fique comigo!,
1309,2754,,
1309,2755,,
1309,2756,,
1309,2757,,
1309,2758,,
1309,2759,,
1309,2760,,
1309,2761,,
1309,2762,,
1309,35,,
1309,36,,
1309,37,,
1309,38,,
1309,39,,
1309,2372,,
1309,2752,,
1309,2753,,
