resource,message_id,translated,notes
1235,10,Caixões?,
1235,1,"Não, acho que não.",
1235,11,Os monstros que acabamos de lutar...,
1235,3,Parece que estavam cultivando eles aqui.,
1235,4,"Por que não vem ver com seus
próprios olhos?",
1235,12,Aparentemente.,
1235,5,Essa voz... só eu consigo ouvir?,
1235,6,O rei...,
1235,7,Barbarossa o levou ao desespero.,
1235,8,"Não trabalhamos para o rei!
Diga isso a ele!",
1235,9,Ótimo. Ninguém escuta.,
1235,13,"O quê, ele é amigo seu?",
1235,2754,,
1235,2755,,
1235,2756,,
1235,2757,,
1235,2758,,
1235,2759,,
1235,2760,,
1235,2761,,
1235,2762,,
1235,16,,
1235,17,,
1235,18,,
1235,19,,
1235,20,,
1235,2372,,
1235,2752,,
1235,2753,,
