resource,message_id,translated,notes
1325,1558,O futuro que Alicia queria...,
1325,1559,"O mundo se tornou torto demais.
Não pode ficar assim. Alguém precisa
endireitar as coisas.",
1325,1560,Esse alguém... somos nós. Essa é a missão que nos resta.,
1325,1561,Eu vou para Asgard.,
1325,1562,Gungnir precisa voltar. É ele que protege Asgard.,
1325,1563,"Se você for o deus principal, nós, os mortos-vivos,
não teremos mais que lutar contra os deuses.",
1325,1564,Como será que a Freya vai reagir?,
1325,1565,...Conto com você.,
1325,1582,...Parece que neste mundo eu deixei de ser um morto-vivo.,
1325,1583,Como assim!?,
1325,1581,"Sinto a ""morte"".",
1325,1569,É uma sensação que experimentei uma única vez numa era distante.,
1325,1570,...Nada mal.,
1325,1571,Encontrei um bom lugar para morrer.,
1325,1572,Vai ficar aqui!?,
1325,1573,Para um morto-vivo como eu não há para onde voltar.,
1325,1574,O mesmo vale para mim. Vou com você.,
1325,1575,Nem pensar.,
1325,1576,"Você já foi humano. Ainda tem uma grande
missão: restaurar Midgard.",
1325,1577,...Quer que EU vire o Guardião do Orbe?,
1325,1584,Tem mais alguém?,
1325,1579,Cada um acaba no lugar ao qual pertence.,
1325,1580,Vamos.,
1325,2741,,
1325,2742,,
1325,2743,,
