resource,message_id,translated,notes
1321,44,Você tá bem ei...,
1321,38,Sinto dor...,
1321,39,Reage! Isso não parece coisa de morto-vivo!,
1321,43,Precisamos nos apressar. Lenneth está em perigo...,
1321,1,"É, claro. Mas o que diabos podemos fazer?
Olha como a gente tá.",
1321,40,E acho que esses dois não vão ajudar muito.,
1321,4,É inútil. Não são almas flutuantes.,
1321,41,"São espíritos de valquírias deslocados,
presos pelo Rito Soberano, sem lugar para ir.",
1321,5,Vão desaparecer eventualmente...,
1321,6,Então só sobra a gente é?,
1321,7,"Não. Se recuperarmos a alma de Lenneth,
isso nos dará uma nova arma.",
1321,8,O Lezard está determinado a se fundir com Lenneth...,
1321,9,"Antes que ele consiga, eu me tornarei o
receptáculo das três valquírias, concentrando
o poder delas em um só!",
1321,10,Só assim teremos chance de enfrentar o Lezard...,
1321,11,...Será que precisa chegar a esse ponto?,
1321,12,"Vocês viram com seus olhos! Enfrentamos um
deus superior a Odin!",
1321,13,...Eu...,
1321,14,Me deixe ser o receptáculo!,
1321,15,O que vocês estão inventando...,
1321,16,"Não é a mesma coisa que hospedar a
Silmeria no seu corpo!",
1321,17,"Quatro almas, incluindo a do receptáculo,
serão fundidas para criar um ser totalmente novo!",
1321,18,"Assim como eu me fundei com um homem chamado
Dylan e ocultei minha identidade...",
1321,19,"Se me tornar uma com elas, posso criar o
futuro que desejo...",
1321,20,"Não me importa o que acontecer comigo!
Mesmo que eu perca minha personalidade e não consiga voltar!",
1321,21,Seu corpo não aguenta. Não vai aguentar por muito tempo.,
1321,22,Você também não! Está ferida.,
1321,23,...Quando o corpo perece a alma se extingue.,
1321,24,Não importa!,
1321,25,Como pode dizer isso de boca tão leve!?,
1321,26,"Pensa bem no que tá dizendo! Em tudo que nós
dois passamos pra chegar até aqui!",
1321,27,...Pensei.,
1321,28,Pensei por muito tempo.,
1321,29,Desde pequena eu sempre quis me separar da Silmeria.,
1321,30,"Mas quando esse desejo se realizou, me senti vazia...",
1321,31,Foi aí que entendi...,
1321,32,Que eu preciso da Silmeria...,
1321,33,Você está decidida.,
1321,34,...Rufus...,
1321,35,Não precisa dizer... Eu sei.,
1321,36,...Vamos!,
1321,2752,,
1321,2753,,
1321,2754,,
1321,2755,,
